security_ticker,market_ticker,event_date
AAPL,SPY,31/10/2019
AAPL,SPY,05/11/2018
AAPL,SPY,03/11/2017
AAPL,SPY,26/10/2016
AAPL,SPY,28/10/2015
AAPL,SPY,27/10/2014
AAPL,SPY,30/10/2013
AAPL,SPY,31/10/2012
AAPL,SPY,26/10/2011
AAPL,SPY,27/10/2010
GOOG,SPY,04/02/2020
GOOG,SPY,05/02/2019
GOOG,SPY,06/02/2018
GOOG,SPY,03/02/2017
GOOG,SPY,11/02/2016
AMZN,SPY,31/01/2020
AMZN,SPY,01/02/2019
AMZN,SPY,02/02/2018
AMZN,SPY,10/02/2017
AMZN,SPY,29/01/2016
AMZN,SPY,30/01/2015
AMZN,SPY,30/01/2013
AMZN,SPY,01/02/2012
AMZN,SPY,28/01/2011
AMZN,SPY,29/01/2010
MSFT,SPY,01/08/2019
MSFT,SPY,03/08/2018
MSFT,SPY,02/08/2017
MSFT,SPY,28/07/2016
MSFT,SPY,31/07/2015
MSFT,SPY,31/07/2014
MSFT,SPY,30/07/2013
MSFT,SPY,26/07/2012
MSFT,SPY,28/07/2011
MSFT,SPY,30/07/2010
FB,SPY,30/01/2020
FB,SPY,31/01/2019
FB,SPY,01/02/2018
FB,SPY,28/01/2016
FB,SPY,29/01/2015
FB,SPY,31/01/2014