security_ticker, market_ticker, event_date
AAPL, SPY, 05/10/2019
MSFT, SPY, 05/10/2019
GOOG, SPY, 05/10/2019
AAPL, SPY, 05/11/2018
AAPL, SPY, 03/11/2017
AAPL, SPY, 26/10/2016
AAPL, SPY, 28/10/2015
AAPL, SPY, 27/10/2014
AAPL, SPY, 30/10/2013
AAPL, SPY, 31/10/2012
AAPL, SPY, 26/10/2011
AAPL, SPY, 27/10/2010
AAPL, SPY, 25/01/2010
AAPL, SPY, 27/10/2009
AAPL, SPY, 05/11/2008
AAPL, SPY, 15/11/2007
AAPL, SPY, 29/12/2006
AAPL, SPY, 01/12/2005
AAPL, SPY, 03/12/2004
AAPL, SPY, 19/12/2003
AAPL, SPY, 19/12/2002
AAPL, SPY, 21/12/2001
AAPL, SPY, 14/12/2000
AAPL, SPY, 22/12/1999
AAPL, SPY, 23/12/1998
AAPL, SPY, 23/01/1998
AAPL, SPY, 05/12/1997
AAPL, SPY, 19/12/1996
AAPL, SPY, 19/12/1995
AAPL, SPY, 13/12/1994